image,question,refs,base,fusion,win
VizWiz_val_00000129.jpg,"Ok I have taken a picture of a sticker close up now hopefully you can see it. Again, I need the model number. Thank You","['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'cannot see model number in image', 'unanswerable']",unanswerable,no,base wins
VizWiz_val_00000130.jpg,"Can you see a bottle in this picture? And if so, what is it?","['no', 'no', 'no', 'no', 'no', 'no', 'yes unknown', 'no', 'unanswerable', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000133.jpg,Can you tell us what this screen says? Thanks.,"['something about remembering your password', 'next', 'if you need help will show you hint for your password', 'you remember you passwords will show you your hint next', 'hint for password', 'password setup screen', 'unanswerable', 'next', 'no not image full screen', 'no']",unanswerable,next,fusion wins
VizWiz_val_00000160.jpg,Can you give me an idea of what's on the screen? Thank you.,"['links to sites', 'different chrome links like news products', 'menu', 'unanswerable', 'menu for computer programs', 'firefox email', 'links for russia', 'files', 'shortcuts', 'favorites']",unanswerable,window install,base wins
VizWiz_val_00000170.jpg,What color is this skirt?,"['blue', 'blue', 'blue', 'blue', 'white', 'blue', 'blue', 'blue', 'blue', 'unanswerable']",blue,unanswerable,base wins
VizWiz_val_00000178.jpg,What does this cartoon look like? Thank you.,"['black white 2 men facing each other', 'unanswerable', 'comic Comic strip', 'woman talking to man about ufo sucking people at bus stop into ufo', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'black white', 'funny cartoon']",unanswerable,comic,base wins
VizWiz_val_00000188.jpg,"Tell me about this creme, what is showing, what is visible, doesn't really matter if you can't read the full text as long as I know there's something going on that's fine. ","['blue screen', 'unanswerable', 'plain blue screen', 'unanswerable', 'unanswerable', 'blank', 'unanswerable', 'unanswerable', 'blue', 'unanswerable']",blue,unanswerable,fusion wins
VizWiz_val_00000195.jpg,What does the screen on my TV say?,"['starz encore call us at', 'starz', 'starz', 'unanswerable', 'call number to order premium channels', 'starz', 'starz encore', 'unanswerable', 'ad for starz premium', 'starz channels offer']",yes,unanswerable,fusion wins
VizWiz_val_00000196.jpg,What is this a picture of?,"['back chair woman in', 'woman', 'woman', 'back boy', 'person sitting in chair', 'person in chair watching something', 'someone sitting at banquet', 'person sitting in front stage', 'person sitting in chair in auditorium stage', 'woman sitting theater']",dog,woman,fusion wins
VizWiz_val_00000203.jpg,Is the laptop screen open?,"['yes', 'laptop open', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,no,base wins
VizWiz_val_00000211.jpg,"Can you please give me as much as possible as what you see on my computer screen, whether it's a Windows log on or a blue screen of death or anything at all because I have a.","['notification', 'cannot read screen image has computer too far away', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'setting screen', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000213.jpg,"Hi, thanks for letting me know this is start-up repair, might take awhile but I really want to try  and actually get myself back into Windows I am an IT technician, so all I really need","['click finish to exit shut down your computer', 'press enter your on finish button right now i think', 'unanswerable', 'unanswerable', 'unanswerable', 'click finish', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000231.jpg,Just curious to see whether you could read what was on the computer screen. Just testing this application.,"['australia lucky google go to googlecom', 'no', 'partially', 'no cannot read what on computer screen', 'partial', 'no', 'no', 'google', 'barely', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000232.jpg,Is it possible then that we have a blank screen? If so this may mean that something is happening.,"['no', 'yes', 'yes driver installation', 'no blank screen query screen', 'yes', 'no', 'no', 'waiting for driver to be installed', 'driver installation', 'unanswerable']",yes,error message,base wins
VizWiz_val_00000233.jpg,What is playing on this channel?,"['unanswerable', 'hockey', 'house crashers', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'baseball', 'unanswerable']",unanswerable,people,base wins
VizWiz_val_00000236.jpg,Is there any change to the monitor?,"['need to click restart for driver to be installed', 'driver installed', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'waiting on driver to be installed', 'rescan driver', 'no', 'waiting for driver to be installed']",yes,unanswerable,fusion wins
VizWiz_val_00000241.jpg,Please tell me what the title of this book is? Thank you for your time.,"['unanswerable', 'no', 'unanswerable', 'clive cussler dirk cussler', 'clive cussler dirk cussler', 'unanswerable', 'clive cussler', 'olive cussler dirk cussler', 'clive cussler dirk cussler authors', 'unanswerable']",unanswerable,clive cussler dirk cussler,base wins
VizWiz_val_00000258.jpg,"OK, lets try this again and see if this works. Do you see any kind of an ID number here that would tell me what is what so that I can get disconnected?","['no but youre mouse almost on top stop button', 'yes', 'no', 'no id number present', 'unanswerable', 'unanswerable', 'unanswerable', 'yes', 'unanswerable', 'no']",unanswerable,no,base wins
VizWiz_val_00000260.jpg,what is this camera doing or this screen on this computer what is it saying now we just started it up and its not talking yet,"['pop up open no camera', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'downloading', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000265.jpg,What color has the light?,"['white', 'red', 'clear', 'unanswerable', 'red', 'unanswerable', 'red', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,white,base wins
VizWiz_val_00000270.jpg,Please tell me the name of this book?,"['crescent dawn', 'unanswerable', 'author clive cussler dirk cussler', 'only authors names shown no title', 'clive cussler dirk cussler', 'clive cussler', 'clive cussler dirk cussler', 'clive cussler dirk cussler', 'clive cussler dirk cussler', 'unanswerable']",unanswerable,clive cussler dirk cussler,fusion wins
VizWiz_val_00000294.jpg,Can you please to describe to me in detail what this picture looks like? Thank you.,"['unanswerable', 'unanswerable', 'comic', 'unsuitable imag', 'unanswerable', 'looks like comic strip', 'unanswerable', 'computer screen partial comic', 'unanswerable', 'cartoon']",unanswerable,comic,base wins
VizWiz_val_00000297.jpg,Where is the white cup?,"['near laptop', 'left', 'on table', 'top left', 'sitting on desk next to laptop', 'on table', 'coffee cup', 'to left', 'unanswerable', 'lower left']",unanswerable,blue,base wins
VizWiz_val_00000305.jpg,What is it?,"['dell laptop', 'dell laptop', 'laptop', 'laptop', 'laptop computer being booted up', 'laptop', 'dell laptop', 'laptop', 'dell laptop', 'laptop']",laptop,computer,base wins
VizWiz_val_00000306.jpg,Please tell what the title of this book is. Thank you for your time.,"['olive cussler dirk cussler', 'clive cussler dirk cussler', 'unanswerable', 'clive cussler', 'unanswerable', 'crescent dawn', 'do not see title just authors names', 'clive cussler', 'unanswerable', 'authors clive dirk cussler']",unanswerable,clive cussler dirk cussler,base wins
VizWiz_val_00000308.jpg,Can you please tell me in detail what's on this computer screen? Thank you very much. ,"['unanswerable', 'unanswerable', 'computer cant start message', 'unanswerable', 'your computer was unable to start', 'unanswerable', 'your computer was unable to start startup repair checking your system for problems', 'startup', 'unanswerable', 'unknown dialog box']",yes,unanswerable,fusion wins
VizWiz_val_00000309.jpg,Was I able to clear either of the mirrors of the OK button?,"['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000320.jpg,What is written on the screen?,"['google search text box', 'google', 'google', 'google google search im feeling lucky', 'google', 'google search', 'unanswerable', 'google', 'google', 'unanswerable']",unanswerable,nothing,base wins
VizWiz_val_00000330.jpg,"Hi thanks for letting me know this is startup repair.  It might take a while here, but I really want to try and actually get myself back into windows, I'm an IT Technician, so all I really need...","['hit enter to finish', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'windows cannot repair automatically', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000338.jpg,Can you read everything on my TV screen?,"['no', 'no', 'yes', 'no', 'unanswerable', 'no', 'dvr usage capacity your dvr 89% full', 'yes', 'no', 'no']",yes,no,fusion wins
VizWiz_val_00000345.jpg,What is on the monitor?,"['unanswerable', 'unanswerable', 'unanswerable', 'nothing', 'nothing', 'white screen', 'unanswerable', 'start bar', 'unanswerable', 'unanswerable']",unanswerable,nothing,base wins
VizWiz_val_00000349.jpg,Can you read the screen? Thank you.,"['unanswerable', 'yes', 'no', 'no', 'yes', 'no', 'unanswerable', 'no', 'unanswerable', 'no']",yes,unanswerable,fusion wins
VizWiz_val_00000350.jpg,"There are four sets of five numbers on this ticket, can you read them for me?","['yes', 'unanswerable', '0103041329 0304111325 0407121320 1307131525', '1341329 34111325 47121320 37131525', '01 03 04 13 29 03 04 11 13 25 04 07 12 13 20 03 07 13 15 25', '01 03 14 13 29 03 04 11 13 25 04 07 12 13 20 03 07 13 15 25', 'yes', '01 03 04 13 29 03 04 11 13 25 04 07 12 13 20 03 07 13 15 25', '01 03 04 13 29 03 04 11 13 25 03 07 13 15 25', 'yes']",unanswerable,10,base wins
VizWiz_val_00000351.jpg,ok as requested i've moved my camera to the left and can you please tell me what the screen says thank you very much,"['yes', 'copying windows files', 'installing windows', 'installing windows expanding windows files 53%', 'installing windows', 'installing expanding windows', 'expanding windows', 'expanding windows files', 'installing windows expanding windows files', 'installing windows']",yes,installing windows,fusion wins
VizWiz_val_00000362.jpg,Can you please describe to me what this picture looks like? Thank you.,"['turned sideways comic strip about ufo', 'unanswerable', 'unanswerable', 'comic 2 characters having conversation', 'speech bubble', 'cartoon', 'unanswerable', 'comic on computer screen', 'comic strip', 'unanswerable']",unanswerable,comic,base wins
VizWiz_val_00000384.jpg,What's on the screen?,"['unanswerable', 'reboot screen', 'script', 'reboot screen', 'windows', 'problems that preventing windows from starting', 'unanswerable', 'white words', 'unanswerable', 'unanswerable']",unanswerable,white line,base wins
VizWiz_val_00000387.jpg,What it is a?,"['laptop lots cords', 'unanswerable', 'unknown', 'desk computer cables wires more', 'unanswerable', 'computer cords accesories', 'unanswerable', 'unanswerable', 'cords plugged into laptop', 'unanswerable']",computer,unanswerable,fusion wins
VizWiz_val_00000389.jpg,What was that?,"['unanswerable', 'television', 'program', 'emergency alert system', 'emergency alert system', 'tv', 'unanswerable', 'emergency alert system', 'unanswerable', 'unanswerable']",tv,unanswerable,fusion wins
VizWiz_val_00000396.jpg,Can you tell me the verification code?,"['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000402.jpg,Is this valium?,"['no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'unable to read medication name']",yes,unanswerable,fusion wins
VizWiz_val_00000405.jpg,Whats on my screen? Come on you guys! Whats on the screen?,"['select boot device', 'please select boot device 3 choices', 'unanswerable', 'please select boot device', 'boot screen', 'please select boot device', 'error', 'please select boot device', 'device select message', 'please select boot device']",yes,unanswerable,fusion wins
VizWiz_val_00000406.jpg,"Hi, please tell me what is showing in the message on my computer screen. Thank you.","['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",laptop,unanswerable,fusion wins
VizWiz_val_00000425.jpg,What's on the screen?,"['file folders', 'electronic documents', 'monitor', 'document menu', 'files', 'documents', 'computer files', 'internet explorer icon', 'unanswerable', 'computer folders']",unanswerable,startup repair,base wins
VizWiz_val_00000427.jpg,What's on the screen?,"['windows installation screen', 'unanswerable', 'installing windows', 'install windows', 'installing windows', 'windows installation window', 'install windows screen', 'installing windows', 'installing windows', 'installing windows']",unanswerable,startup repair,base wins
VizWiz_val_00000434.jpg,What is displayed on my screen?,"['text', 'computer', 'windows boot manager', 'unanswerable', 'english', 'windows boot manager asking options during boot process', 'windows diagnostic manager main page', 'windows boot manager interface', 'system boot manager', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000445.jpg,"Can you see if there's a year and date, and the team that Ricky Henderson is on, on the back of this baseball card? Thank you.","['1991 athletes', '1991 no date', '1991 oakland athletics', 'no', '1991 athletics', 'yes', 'unanswerable', 'no', 'no', '1991']",unanswerable,no,fusion wins
VizWiz_val_00000451.jpg,tell me about color.,"['red blue grey silver black white purple', 'borders computer screen blue background red white text black', 'unanswerable', 'red block white black text', 'red burgundy background then pink over top then white over top blending together', 'unanswerable', 'orange white', 'red', 'red blue', 'red pink blue black']",unanswerable,orange,base wins
VizWiz_val_00000455.jpg,What is this thing?,"['computer message', 'laptop', 'computer screen', 'dialog box', 'computer', 'laptop', 'computer screen', 'computer screen', 'computer dialog box', 'message to restore computer using system restore']",laptop,unanswerable,base wins
VizWiz_val_00000466.jpg,What does it say on the screen?,"['next cancel', 'big white box next l cancel r buttons bottom r below latitude e6420 installing drivers', 'unanswerable', 'unanswerable', 'latitude e6420', 'unanswerable', 'unanswerable', 'unanswerable', 'image only shows next button cancel button', 'next']",unanswerable,microsoft corporation,base wins
VizWiz_val_00000470.jpg,What is in this picture?,"['login screen', 'computer login screen', 'monitor', 'cannot see what on screen', 'unanswerable', 'laptop', 'computer screen', 'game console', 'laptop', 'unanswerable']",laptop,computer screen,base wins
VizWiz_val_00000482.jpg,Can you tell me what's on the screen?,"['unanswerable', '4 boxes', 'unanswerable', 'no', 'unanswerable', 'no', 'unanswerable', 'blue box', 'unanswerable', 'macbook']",yes,no,fusion wins
VizWiz_val_00000493.jpg,What is this thing?,"['laptop', 'unanswerable', 'laptop', 'laptop monitor', 'laptop word processor onscreen', 'laptop', 'computer', 'document page', 'windows media player', 'monitor']",keyboard,laptop,fusion wins
VizWiz_val_00000496.jpg,What's this?,"['laptop', 'unanswerable', 'computer screen showing access apple', 'monitor', 'screen', 'computer screen', 'web page access', 'computer screen', 'sign on screen for apple', 'unanswerable']",laptop,unanswerable,fusion wins
VizWiz_val_00000503.jpg,What letters do I enter in to win the prize?,"['jek', 'jek', 'unanswerable', 'computer screen', 'unanswerable', 'unanswerable', 'unanswerable', 'jek', 'jek', 'jek']",unanswerable,zxj,base wins
VizWiz_val_00000509.jpg,what clothing is worn in this photo and how many people?,"['no clothing 0 people', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000517.jpg,Is there an error message on the screen? And is there an action item or action that needs to be taken?,"['unanswerable', 'yes startup repair', 'your computer was unable to start startup repair', 'yes', 'yes move mouse down to right click ok', 'unanswerable', 'startup repair', 'startup repair hit ok', 'yes startup repair', 'yes error message action to be taken']",unanswerable,startup repair,base wins
VizWiz_val_00000518.jpg,What is that?,"['computers monitor keyboard', 'monitor', 'computer monitor', 'computer screen', 'computer', 'computer monitor', 'computer screen', 'desktop', 'graph', 'graph']",keyboard,computer screen,fusion wins
VizWiz_val_00000521.jpg,What is my computer screen showing?,"['your computer was unable to restart', 'repairs', 'your computer was unable to start', 'startup repair', 'startup repair', 'startup repair screen', 'attempting repairs', 'attempting repair', 'computer unable to restart', 'windows repairs']",yes,startup repair,fusion wins
VizWiz_val_00000534.jpg,Is this the front side of the paper?,"['no', 'no', 'no', 'yes', 'no', 'back side', 'no', 'unanswerable', 'no', 'no']",yes,no,fusion wins
VizWiz_val_00000535.jpg,Is that the Chrysler building?,"['no', 'no', 'no', 'yes', 'unanswerable', 'unanswerable', 'no', 'yes', 'unanswerable', 'no']",yes,unanswerable,fusion wins
VizWiz_val_00000553.jpg,What's on the screen?,"['startup screen', 'startup repair window', 'startup repair window', 'system restore', 'prompt to restore computer using startup repair', 'startup repair', 'computer unable start', 'startup repair screen', 'startup repair', 'repair message']",startup repair,unanswerable,base wins
VizWiz_val_00000564.jpg,Please tell me any visible text on this screen.,"['unanswerable', 'no text visible', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable']",unanswerable,no,base wins
VizWiz_val_00000568.jpg,What is the picture?,"['laptop desk', 'laptop wood piece furniture', 'laptop', 'top desk', 'screen', 'wall', 'unanswerable', 'wall partial computer screen', 'laptop', 'wood']",table,unanswerable,fusion wins
VizWiz_val_00000572.jpg,Can you see the Captcha?,"['no', 'no', 'unanswerable', 'no', 'no', 'no', 'no', 'no', 'unanswerable', 'no']",yes,unanswerable,fusion wins
VizWiz_val_00000573.jpg,What is written on this computer screen please?,"['install mac os x', 'install mac os x', 'install mac os x', 'nothing', 'install mac os x', 'install mac os x', 'install mac', 'install mac osx', 'install mac os x', 'install mac os x']",apple,install mac os x,fusion wins
VizWiz_val_00000595.jpg,What is this?,"['plug', 'cord', 'unknown', 'electrical plug', 'charger', 'camera', 'plug', 'phone', 'plug', 'plug for outlet']",charger,plug,fusion wins
VizWiz_val_00000605.jpg,what is this?,"['laptop screen', 'laptop computer', 'computer', 'screen', 'computer screen', 'computer', 'computer screen', 'computer screen', 'computer screen', 'computer screen']",laptop,computer screen,fusion wins
VizWiz_val_00000618.jpg,What kind of food is in this can?,"['garden vegetable soup', 'garden vegetable soup', 'garden vegetable', 'vegetable soup', 'soup', 'soup', 'vegetable soup', 'progresso vegetable classics garden vegetable', 'garden vegetable soup', 'soup']",soup,unanswerable,base wins
VizWiz_val_00000630.jpg,What's this?,"['computer screen', 'corner laptop screen', 'unanswerable', 'computer screen', 'blurry computer screen', 'wed page', 'unanswerable', 'computer screen', 'unanswerable', 'computer screen']",laptop,unanswerable,fusion wins
VizWiz_val_00000636.jpg,Which lottery to get has two sets of numbers?,"['unanswerable', 'unanswerable', 'unanswerable', 'left 1', 'left hand ticket', 'left', 'left ticket', 'unanswerable', 'left 1', 'unanswerable']",unanswerable,10,base wins
VizWiz_val_00000641.jpg,What this that picture?,"['unanswerable', 'table', 'some wooden cabinet top laptop', 'looks to be table surface looking down from computer monitor', 'unanswerable', 'desktop', 'wall', 'part laptop screen', 'wood table', 'unanswerable']",laptop,unanswerable,fusion wins
VizWiz_val_00000650.jpg,what can i hear on the screen.,"['nothing', 'computer screen to login', 'desktop screen', 'unanswerable', 'unanswerable', 'unanswerable', 'windows desktop', 'unanswerable', 'unanswerable', 'just shows normal desk top home screen']",laptop,nothing,fusion wins
VizWiz_val_00000653.jpg,"Is there anything on the screen, something about start up?","['error message', 'instructions', 'no', 'required services not running error', 'required services not running', 'no error message that required services not running', 'no', 'unanswerable', 'something not running', 'says required services not running']",yes,unanswerable,fusion wins
VizWiz_val_00000661.jpg,Is this a snakebite?,"['unanswerable', 'possibly', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'maybe', 'maybe', 'no', 'unanswerable']",yes,no,fusion wins
VizWiz_val_00000664.jpg,"Can you tell me what's on the screen now, if anything's changed?","['unanswerable', 'unanswerable', 'unanswerable', 'home screen', 'icons', 'at main menu screen all icons', 'unanswerable', 'unanswerable', 'no', 'several icons for different programs']",yes,unanswerable,fusion wins
VizWiz_val_00000688.jpg,It monitor light on the laptop?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']",yes,no,base wins
VizWiz_val_00000689.jpg,What is this device,"['tablet', 'tablet', 'computer tablet', 'computer screen', 'monitor', 'tablet', 'ipad', 'computer screen', 'laptop', 'tablet']",tablet,laptop,base wins
VizWiz_val_00000693.jpg,"Can you please tell me if this laptop is coming up or if the screen is blank, thank you.","['working', 'started up', 'computer working screen up', 'unanswerable', 'coming up', 'laptop coming up', 'screen visible not blank', 'coming up', 'screen not blank', 'laptop coming up']",yes,unanswerable,fusion wins
VizWiz_val_00000695.jpg,What is the letter on the wall?,"['t', 't', 't', 't', 't', 't', 't', 't', 't', 't']",unanswerable,t,fusion wins
VizWiz_val_00000704.jpg,What is this a picture of? From a new user.,"['laptop keyboard', 'laptop', 'laptop', 'keyboard computer screen from laptop computer', 'laptop computer', 'laptop keyboard', 'laptop', 'desktop laptop', 'laptop keyboard screen', 'laptop']",laptop,unanswerable,base wins
VizWiz_val_00000706.jpg,Can you tell me what color my shirt is?,"['no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",brown,unanswerable,fusion wins
VizWiz_val_00000730.jpg,"What, what is this?","['system restore disk check on desktop', 'computer keyboard', 'computer', 'computer', 'computer screen keyboard', 'keyboard monitor', 'computer', 'computer system menu', 'computer', 'desktop monitor keyboard']",computer,unanswerable,base wins
VizWiz_val_00000731.jpg,"ok I moved back a little further taking the photo again.  My speech has stopped, so I don't know whether the screen is frozen or not but maybe you can tell me","['some sort graph up unsure on frozen aspect', 'unanswerable', 'computer', 'no', 'frozen', 'screen frozen', 'unanswerable', 'unanswerable', 'no', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000762.jpg,What is this?,"['computer game screen', 'minecraft', 'minecraft hole in ground', 'minecraft screen', 'tunnel in minecraft game', 'minecraft screen', 'computer screen', 'animation hole in ground', 'unanswerable', 'picture']",computer screen,video game,base wins
VizWiz_val_00000774.jpg,What is this?,"['screen', 'computer screen', 'computer screen', 'unanswerable', 'monitor', 'windows media player', 'unanswerable', 'setup page', 'unanswerable', 'computer screen']",phone,unanswerable,fusion wins
VizWiz_val_00000778.jpg,is there a button that i'm supposed to push on this?,"['unsure', 'no', 'no', 'yes', 'unanswerable', 'red button', 'yes more on demand', 'yes more on demand circle', 'yes', 'yes']",yes,unanswerable,base wins
VizWiz_val_00000780.jpg,Is there anything you could tell me about the screen? Do you see a percentage perhaps? I'm trying to figure out where this diagnostic is going.,"['verifying files in parts', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'file verification progress no', 'no']",yes,unanswerable,fusion wins
VizWiz_val_00000782.jpg,Can you tell me the Captcha code in the ON Screen image please?,"['unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no']",yes,unanswerable,fusion wins
VizWiz_val_00000790.jpg,What is this?,"['radio', 'universal remote', 'phone', 'cellphone', 'unanswerable', 'cordless phone', 'controller', 'audio recorder', 'recorder', 'phone']",phone,unanswerable,base wins
VizWiz_val_00000793.jpg,What is this?,"['winners for life 2005', 'winner for life 2005 trophy', 'trophy award', 'dont know', 'winners for life trophy', 'trophy', 'plaque inscription winners for life 2005', 'winners for life 2005', 'unanswerable', 'trophy']",unanswerable,poster,base wins
